Bot1,Bot2,Bot3,Bot4,Bot5,Bot6,House
-100.0,-104.45,-102.15,-100.0,33.6,-6.95,3.8
33.15,33.8,-100.0,-3.7,-45.35,-33.75,1.16
39.35,-100.0,30.35,4.25,-100.0,31.1,0.95
-100.0,-13.9,-100.0,36.15,31.6,-49.85,1.96
-40.4,-100.0,-100.0,-8.2,-100.0,-65.0,4.14
-49.15,-54.2,41.85,-56.45,30.9,-24.05,1.11
-26.65,-107.6,-108.8,-100.0,-100.0,-100.0,5.43
-100.0,-64.6,-100.0,-100.05,-100.0,-100.0,5.65
-38.05,-100.05,30.85,-41.0,30.4,-100.0,2.18
-31.4,-100.0,-15.57,-100.0,36.45,-31.8,2.42
37.2,33.5,-104.85,-84.65,-100.0,31.15,1.88
39.75,-101.2,31.2,39.35,-100.8,-34.95,1.27
37.25,32.55,-105.1,-39.65,39.0,38.45,-0.03
-100.0,30.65,31.3,31.4,34.15,-80.9,0.53
-42.7,-71.95,-105.65,37.8,34.15,34.75,1.14
31.0,-100.0,30.0,-7.9,-100.0,-22.65,1.7
-21.3,-100.0,-105.0,35.05,-52.85,1.5,2.43
